Sin-Comp-1	Cos-Comp-1	Magnitude-1	Sin-Comp-2	Cos-Comp-2	Magnitude-2	Sin-Comp-Total	Cos-Comp-Total	Magnitude-Total	Time
         2.63563e-10	         8.14544e-10	         8.56123e-10	         2.63563e-10	         8.14544e-10	         8.56123e-10	         2.63563e-10	         8.14544e-10	         8.56123e-10	                   0
         -0.00295842	          0.00511589	           0.0059097	          -0.0041597	        -0.000355674	          0.00417488	         -0.00355906	          0.00238011	          0.00428157	              0.0625
         -0.00202063	           0.0115487	           0.0117241	           -0.012078	         -0.00105255	           0.0121238	         -0.00704932	          0.00524806	          0.00878835	               0.125
         -0.00505033	           0.0127233	            0.013689	          -0.0196591	          0.00115788	           0.0196932	          -0.0123547	          0.00694059	           0.0141708	              0.1875
          0.00438405	           0.0151998	           0.0158194	          -0.0217241	          0.00428988	           0.0221436	         -0.00867004	          0.00974484	           0.0130435	                0.25
          0.00141059	           0.0150155	           0.0150816	          -0.0180153	          0.00395689	           0.0184447	         -0.00830236	          0.00948619	           0.0126062	              0.3125
         -0.00619768	           0.0154237	           0.0166223	          -0.0148918	        -4.82302e-06	           0.0148918	          -0.0105448	          0.00770943	           0.0130624	               0.375
        -0.000840175	          0.00804898	          0.00809271	          -0.0144816	          -0.0016503	           0.0145753	         -0.00766089	          0.00319934	          0.00830211	              0.4375
         -0.00312193	            0.013811	           0.0141595	          -0.0130009	          0.00281352	           0.0133019	         -0.00806142	          0.00831226	           0.0115793	                 0.5
         -0.00780912	           0.0169013	           0.0186182	         -0.00748407	           0.0112081	           0.0134771	         -0.00764659	           0.0140547	           0.0160002	              0.5625
          -0.0152822	          0.00987181	           0.0181933	         4.76783e-05	           0.0169388	           0.0169389	         -0.00761724	           0.0134053	           0.0154183	               0.625
          -0.0154644	          0.00967455	           0.0182413	           0.0031639	           0.0193221	           0.0195794	         -0.00615024	           0.0144983	           0.0157489	              0.6875
          -0.0188773	          0.00179243	           0.0189622	         0.000378148	           0.0229721	           0.0229753	         -0.00924957	           0.0123823	           0.0154556	                0.75
          -0.0221513	          0.00500002	           0.0227086	         -0.00432822	           0.0290581	           0.0293787	          -0.0132398	            0.017029	           0.0215703	              0.8125
          -0.0180536	           0.0121608	           0.0217674	         -0.00639858	           0.0349312	           0.0355124	          -0.0122261	            0.023546	           0.0265309	               0.875
          -0.0236116	           0.0138882	           0.0273933	         -0.00618975	           0.0361208	           0.0366473	          -0.0149007	           0.0250045	           0.0291076	              0.9375
            -0.01943	           0.0158401	           0.0250685	         -0.00662242	           0.0331579	           0.0338128	          -0.0130262	            0.024499	           0.0277467	                   1
          -0.0220937	           0.0213146	           0.0306993	          -0.0064187	           0.0292886	           0.0299837	          -0.0142562	           0.0253016	           0.0290416	              1.0625
          -0.0293828	           0.0294938	           0.0416321	         -0.00460314	           0.0255184	           0.0259302	           -0.016993	           0.0275061	           0.0323318	               1.125
          -0.0242772	           0.0160922	           0.0291262	          -0.0017535	           0.0213632	            0.021435	          -0.0130153	           0.0187277	           0.0228062	              1.1875
          -0.0240337	          0.00781334	           0.0252718	        -0.000195819	            0.018048	           0.0180491	          -0.0121147	           0.0129307	           0.0177192	                1.25
          -0.0290285	          0.00741108	           0.0299596	        -0.000503791	           0.0203317	           0.0203379	          -0.0147661	           0.0138714	           0.0202597	              1.3125
          -0.0394708	          0.00609912	           0.0399393	          0.00098927	           0.0276723	             0.02769	          -0.0192408	           0.0168857	           0.0255995	               1.375
          -0.0380454	           0.0114665	           0.0397358	          0.00501399	            0.034812	           0.0351713	          -0.0165157	           0.0231392	           0.0284287	              1.4375
          -0.0393643	          0.00297587	           0.0394767	          0.00771479	           0.0380563	           0.0388304	          -0.0158248	           0.0205161	           0.0259101	                 1.5
          -0.0449407	        -0.000864526	            0.044949	           0.0043149	           0.0384788	           0.0387199	          -0.0203129	           0.0188071	           0.0276825	              1.5625
          -0.0407168	          0.00238946	           0.0407869	           -0.002841	           0.0408481	           0.0409468	          -0.0217789	           0.0216188	            0.030687	               1.625
          -0.0425468	          0.00227495	           0.0426076	          -0.0076015	           0.0438333	           0.0444875	          -0.0250741	           0.0230541	           0.0340618	              1.6875
          -0.0332208	         -0.00870663	           0.0343428	         -0.00927845	           0.0420981	           0.0431085	          -0.0212496	           0.0166957	            0.027024	                1.75
          -0.0309973	           -0.020998	           0.0374399	           -0.011623	           0.0340874	           0.0360145	          -0.0213101	          0.00654472	           0.0222925	              1.8125
          -0.0420177	          -0.0157789	           0.0448828	          -0.0187153	           0.0258258	           0.0318941	          -0.0303665	          0.00502345	           0.0307792	               1.875
           -0.044327	          -0.0220551	           0.0495107	          -0.0270164	           0.0241523	           0.0362383	          -0.0356717	          0.00104858	           0.0356871	              1.9375
          -0.0392678	          -0.0281029	            0.048288	          -0.0300247	            0.027768	           0.0408968	          -0.0346463	        -0.000167441	           0.0346467	                   2
          -0.0312532	          -0.0305968	            0.043737	          -0.0271687	             0.03265	           0.0424755	           -0.029211	          0.00102664	            0.029229	              2.0625
          -0.0351502	          -0.0329231	           0.0481609	           -0.022502	           0.0359219	           0.0423878	          -0.0288261	          0.00149939	           0.0288651	               2.125
          -0.0313189	          -0.0216305	           0.0380625	          -0.0193876	           0.0389811	           0.0435363	          -0.0253533	          0.00867534	           0.0267964	              2.1875
          -0.0287218	          -0.0200074	           0.0350034	          -0.0162555	           0.0431403	           0.0461012	          -0.0224887	           0.0115665	           0.0252888	                2.25
          -0.0333402	          -0.0222938	           0.0401071	           -0.012873	           0.0452341	           0.0470301	          -0.0231066	           0.0114701	           0.0257969	              2.3125
          -0.0335407	          -0.0225773	           0.0404316	          -0.0110598	           0.0440362	           0.0454039	          -0.0223003	           0.0107295	           0.0247472	               2.375
          -0.0469301	          -0.0161979	           0.0496468	          -0.0117483	           0.0412657	           0.0429055	          -0.0293392	           0.0125339	           0.0319044	              2.4375
          -0.0489034	          -0.0149594	           0.0511403	           -0.013209	           0.0393737	           0.0415303	          -0.0310562	           0.0122071	           0.0333692	                 2.5
          -0.0429939	          -0.0216785	           0.0481501	          -0.0111819	           0.0365746	           0.0382457	          -0.0270879	          0.00744804	           0.0280932	              2.5625
           -0.043661	          -0.0129289	           0.0455351	         -0.00722194	           0.0302105	           0.0310618	          -0.0254415	          0.00864083	           0.0268688	               2.625
          -0.0477176	          -0.0141815	           0.0497804	         -0.00546589	           0.0224448	           0.0231008	          -0.0265918	          0.00413166	           0.0269108	              2.6875
