Sin-Comp-1	Cos-Comp-1	Magnitude-1	Sin-Comp-2	Cos-Comp-2	Magnitude-2	Sin-Comp-Total	Cos-Comp-Total	Magnitude-Total	Time
         2.63563e-10	         8.14544e-10	         8.56123e-10	         2.63563e-10	         8.14544e-10	         8.56123e-10	         2.63563e-10	         8.14544e-10	         8.56123e-10	                   0
         -0.00295842	          0.00511589	           0.0059097	          -0.0041597	        -0.000355674	          0.00417488	         -0.00355906	          0.00238011	          0.00428157	              0.0625
         -0.00202063	           0.0115487	           0.0117241	           -0.012078	         -0.00105255	           0.0121238	         -0.00704932	          0.00524806	          0.00878835	               0.125
         -0.00505033	           0.0127233	            0.013689	          -0.0196591	          0.00115788	           0.0196932	          -0.0123547	          0.00694059	           0.0141708	              0.1875
          0.00445745	           0.0152104	           0.0158501	          -0.0215904	          0.00433782	           0.0220218	         -0.00856647	          0.00977412	           0.0129968	                0.25
          0.00134849	           0.0149819	           0.0150425	          -0.0181117	          0.00395655	           0.0185388	         -0.00838159	          0.00946922	           0.0126458	              0.3125
         -0.00621457	           0.0154296	           0.0166341	          -0.0148391	         2.88999e-05	           0.0148391	          -0.0105268	          0.00772927	           0.0130597	               0.375
        -0.000797523	          0.00805654	          0.00809592	          -0.0143609	         -0.00166289	           0.0144569	         -0.00757922	          0.00319682	          0.00822583	              0.4375
         -0.00315391	           0.0138873	            0.014241	          -0.0130702	           0.0029664	           0.0134026	         -0.00811204	          0.00842686	           0.0116969	                 0.5
         -0.00777604	           0.0168553	           0.0185625	         -0.00742013	           0.0111372	           0.0133827	         -0.00759808	           0.0139963	           0.0159257	              0.5625
            -0.01529	          0.00982114	           0.0181725	         7.47804e-05	           0.0168972	           0.0168974	          -0.0076076	           0.0133592	           0.0153735	               0.625
          -0.0154718	          0.00971411	           0.0182685	          0.00323219	           0.0194276	           0.0196947	         -0.00611979	           0.0145709	           0.0158039	              0.6875
          -0.0189119	          0.00178083	           0.0189956	         0.000352852	           0.0229283	            0.022931	         -0.00927954	           0.0123546	           0.0154514	                0.75
          -0.0221119	          0.00505391	           0.0226821	         -0.00427307	           0.0291771	           0.0294883	          -0.0131925	           0.0171155	           0.0216098	              0.8125
          -0.0180021	           0.0121374	           0.0217115	         -0.00631486	           0.0349036	           0.0354702	          -0.0121585	           0.0235205	           0.0264772	               0.875
           -0.023656	           0.0138459	           0.0274102	         -0.00624718	           0.0360814	           0.0366183	          -0.0149516	           0.0249637	           0.0290987	              0.9375
          -0.0193855	           0.0158593	           0.0250462	         -0.00649536	           0.0331987	           0.0338282	          -0.0129404	            0.024529	           0.0277331	                   1
          -0.0221291	           0.0213407	           0.0307428	         -0.00646911	           0.0293361	           0.0300409	          -0.0142991	           0.0253384	           0.0290947	              1.0625
           -0.029366	           0.0294975	           0.0416229	         -0.00456098	           0.0255297	           0.0259339	          -0.0169635	           0.0275136	           0.0323227	               1.125
          -0.0242233	           0.0160232	           0.0290433	         -0.00162559	           0.0212395	           0.0213016	          -0.0129244	           0.0186314	           0.0226753	              1.1875
          -0.0240794	          0.00788995	            0.025339	        -0.000260422	            0.018214	           0.0182159	          -0.0121699	            0.013052	           0.0178455	                1.25
          -0.0290242	          0.00745357	            0.029966	        -0.000478198	           0.0203766	           0.0203822	          -0.0147512	           0.0139151	           0.0202787	              1.3125
          -0.0394448	          0.00607937	           0.0399106	          0.00102942	           0.0276371	           0.0276563	          -0.0192077	           0.0168582	           0.0255565	               1.375
          -0.0379904	           0.0114676	           0.0396835	          0.00514017	           0.0348464	           0.0352235	          -0.0164251	            0.023157	           0.0283907	              1.4375
          -0.0394117	          0.00290135	           0.0395183	          0.00766779	           0.0379515	           0.0387184	          -0.0158719	           0.0204264	           0.0258681	                 1.5
          -0.0449576	        -0.000814569	            0.044965	          0.00432526	           0.0385924	            0.038834	          -0.0203162	           0.0188889	           0.0277405	              1.5625
           -0.040653	          0.00243001	           0.0407256	         -0.00272785	           0.0408797	           0.0409706	          -0.0216904	           0.0216549	           0.0306498	               1.625
          -0.0425436	          0.00225111	           0.0426031	         -0.00763255	           0.0437905	           0.0444507	          -0.0250881	           0.0230208	           0.0340495	              1.6875
          -0.0331608	          -0.0087572	           0.0342976	         -0.00914843	            0.042045	           0.0430288	          -0.0211546	           0.0166439	           0.0269172	                1.75
          -0.0310548	          -0.0209741	           0.0374741	          -0.0116874	           0.0341496	           0.0360942	          -0.0213711	          0.00658777	           0.0223634	              1.8125
          -0.0420446	           -0.015698	           0.0448796	          -0.0187271	           0.0259606	           0.0320103	          -0.0303859	          0.00513132	           0.0308161	               1.875
          -0.0442406	          -0.0220933	           0.0494504	           -0.026859	           0.0240116	           0.0360273	          -0.0355498	         0.000959197	           0.0355627	              1.9375
          -0.0392136	          -0.0280781	           0.0482295	          -0.0299758	           0.0278386	           0.0409089	          -0.0345947	        -0.000119712	           0.0345949	                   2
          -0.0312411	             -0.0306	           0.0437306	           -0.027152	           0.0326725	           0.0424821	          -0.0291965	          0.00103628	           0.0292149	              2.0625
          -0.0351965	          -0.0329399	           0.0482061	          -0.0225527	            0.035912	           0.0424063	          -0.0288746	          0.00148606	           0.0289129	               2.125
          -0.0312717	          -0.0215766	            0.037993	          -0.0192611	           0.0390592	           0.0435501	          -0.0252664	          0.00874127	           0.0267358	              2.1875
           -0.028721	          -0.0200621	            0.035034	          -0.0162603	           0.0430286	           0.0459984	          -0.0224906	           0.0114833	           0.0252526	                2.25
          -0.0333371	          -0.0222975	           0.0401066	          -0.0128662	           0.0452617	           0.0470548	          -0.0231017	           0.0114821	           0.0257978	              2.3125
          -0.0334982	          -0.0225649	           0.0403894	          -0.0109671	            0.044066	           0.0454102	          -0.0222326	           0.0107505	           0.0246954	               2.375
          -0.0469628	          -0.0161705	           0.0496689	          -0.0118055	           0.0413064	           0.0429603	          -0.0293842	           0.0125679	           0.0319591	              2.4375
          -0.0488185	          -0.0149733	           0.0510632	          -0.0130375	           0.0393141	           0.0414195	           -0.030928	           0.0121704	           0.0332364	                 2.5
          -0.0429557	          -0.0216886	           0.0481206	          -0.0111456	           0.0365594	           0.0382206	          -0.0270507	          0.00743538	           0.0280539	              2.5625
          -0.0436912	          -0.0128865	            0.045552	         -0.00725978	             0.03034	           0.0311965	          -0.0254755	          0.00872676	           0.0269288	               2.625
          -0.0477139	           -0.014233	           0.0497915	         -0.00542703	           0.0223145	            0.022965	          -0.0265705	          0.00404078	            0.026876	              2.6875
