Sin-Comp-1	Cos-Comp-1	Magnitude-1	Sin-Comp-2	Cos-Comp-2	Magnitude-2	Sin-Comp-Total	Cos-Comp-Total	Magnitude-Total	Time
         2.63563e-10	         8.14544e-10	         8.56123e-10	         2.63563e-10	         8.14544e-10	         8.56123e-10	         2.63563e-10	         8.14544e-10	         8.56123e-10	                   0
         -0.00296218	          0.00510653	          0.00590349	         -0.00416731	        -0.000374737	          0.00418413	         -0.00356475	           0.0023659	          0.00427842	              0.0625
         -0.00201631	           0.0115478	           0.0117225	          -0.0120694	         -0.00105466	           0.0121154	         -0.00704288	          0.00524658	           0.0087823	               0.125
         -0.00504211	           0.0127178	           0.0136808	          -0.0196415	          0.00114579	           0.0196748	          -0.0123418	           0.0069318	           0.0141552	              0.1875
          0.00449668	           0.0151895	           0.0158411	          -0.0215165	          0.00429049	           0.0219401	         -0.00850993	          0.00974001	           0.0129339	                0.25
          0.00138063	           0.0149503	           0.0150139	          -0.0180498	          0.00389201	           0.0184646	         -0.00833458	          0.00942115	           0.0125787	              0.3125
         -0.00616029	           0.0154137	           0.0165991	          -0.0147406	        -1.70542e-06	           0.0147406	          -0.0104505	            0.007706	           0.0129844	               0.375
        -0.000734777	          0.00803901	          0.00807252	          -0.0142488	         -0.00170024	           0.0143499	          -0.0074918	          0.00316938	          0.00813462	              0.4375
         -0.00311482	           0.0139046	           0.0142492	          -0.0130063	          0.00299488	           0.0133466	         -0.00806053	          0.00844976	           0.0116778	                 0.5
         -0.00774038	            0.016853	           0.0185456	         -0.00736648	           0.0111288	            0.013346	         -0.00755343	           0.0139909	           0.0158997	              0.5625
          -0.0152719	          0.00979957	           0.0181456	         9.60952e-05	           0.0168528	           0.0168531	         -0.00758791	           0.0133262	           0.0153351	               0.625
          -0.0154297	          0.00969017	           0.0182202	           0.0033015	           0.0193797	           0.0196589	         -0.00606411	            0.014535	           0.0157492	              0.6875
          -0.0188683	          0.00173832	           0.0189482	         0.000426079	           0.0228435	           0.0228474	          -0.0092211	           0.0122909	           0.0153654	                0.75
          -0.0220473	          0.00504213	           0.0226165	          -0.0041732	           0.0291489	           0.0294461	          -0.0131103	           0.0170955	           0.0215438	              0.8125
           -0.017929	           0.0121321	            0.021648	         -0.00620449	           0.0348823	           0.0354298	          -0.0120667	           0.0235072	           0.0264234	               0.875
           -0.023621	           0.0138484	           0.0273812	         -0.00620375	           0.0360839	           0.0366133	          -0.0149124	           0.0249661	           0.0290807	              0.9375
          -0.0193422	           0.0158483	           0.0250058	         -0.00643589	            0.033179	           0.0337974	           -0.012889	           0.0245137	           0.0276956	                   1
          -0.0221059	           0.0213159	           0.0307089	         -0.00644459	           0.0292855	           0.0299862	          -0.0142752	           0.0253007	           0.0290501	              1.0625
          -0.0293236	           0.0294733	           0.0415758	         -0.00450541	           0.0254795	           0.0258747	          -0.0169145	           0.0274764	           0.0322653	               1.125
          -0.0241577	           0.0159727	           0.0289606	         -0.00152584	           0.0211421	           0.0211971	          -0.0128418	           0.0185574	           0.0225674	              1.1875
          -0.0240132	          0.00787565	           0.0252717	        -0.000165463	           0.0181867	           0.0181874	          -0.0120893	           0.0130312	           0.0177753	                1.25
           -0.028958	          0.00744858	           0.0299007	        -0.000382895	           0.0203628	           0.0203664	          -0.0146705	           0.0139057	           0.0202136	              1.3125
          -0.0394087	           0.0060726	           0.0398738	          0.00106853	           0.0276214	           0.0276421	          -0.0191701	            0.016847	           0.0255209	               1.375
           -0.037942	           0.0114576	           0.0396342	          0.00519721	           0.0348277	           0.0352133	          -0.0163724	           0.0231426	           0.0283485	              1.4375
          -0.0393773	          0.00285448	           0.0394806	          0.00770298	           0.0378659	           0.0386415	          -0.0158372	           0.0203602	           0.0257944	                 1.5
          -0.0449123	        -0.000853228	           0.0449204	          0.00438708	           0.0385215	           0.0387705	          -0.0202626	           0.0188341	            0.027664	              1.5625
          -0.0405778	          0.00238923	           0.0406481	         -0.00261399	           0.0408019	           0.0408856	          -0.0215959	           0.0215956	            0.030541	               1.625
          -0.0424791	          0.00223489	           0.0425378	         -0.00755058	           0.0437583	           0.0444049	          -0.0250148	           0.0229966	           0.0339792	              1.6875
          -0.0330878	          -0.0087699	           0.0342303	         -0.00904809	           0.0420192	           0.0429824	          -0.0210679	           0.0166247	           0.0268372	                1.75
          -0.0310175	          -0.0209954	           0.0374552	          -0.0116451	           0.0341171	           0.0360497	          -0.0213313	          0.00656084	           0.0223175	              1.8125
