Sin-Comp-1	Cos-Comp-1	Magnitude-1	Sin-Comp-2	Cos-Comp-2	Magnitude-2	Sin-Comp-Total	Cos-Comp-Total	Magnitude-Total	Time
         2.63563e-10	         8.14544e-10	         8.56123e-10	         2.63563e-10	         8.14544e-10	         8.56123e-10	         2.63563e-10	         8.14544e-10	         8.56123e-10	                   0
         -0.00298626	          0.00510665	          0.00591571	         -0.00418136	        -0.000367533	          0.00419748	         -0.00358381	          0.00236956	          0.00429633	              0.0625
         -0.00206548	           0.0115647	           0.0117477	          -0.0120754	         -0.00101482	            0.012118	         -0.00707045	          0.00527493	          0.00882135	               0.125
         -0.00511745	           0.0127546	           0.0137429	          -0.0196537	          0.00120616	           0.0196907	          -0.0123856	          0.00698035	           0.0142172	              0.1875
          0.00443558	           0.0152584	             0.01589	          -0.0215025	          0.00440136	           0.0219484	         -0.00853349	          0.00982988	           0.0130172	                0.25
          0.00131383	           0.0150164	           0.0150738	           -0.018076	          0.00400692	           0.0185148	          -0.0083811	          0.00951167	           0.0126773	              0.3125
         -0.00624355	           0.0154528	           0.0166664	          -0.0148122	         8.23828e-05	           0.0148124	          -0.0105279	          0.00776758	           0.0130832	               0.375
        -0.000801954	          0.00805556	          0.00809538	          -0.0142843	         -0.00166545	            0.014381	         -0.00754312	          0.00319506	          0.00819189	              0.4375
         -0.00317538	           0.0139543	            0.014311	          -0.0130439	          0.00305782	           0.0133975	         -0.00810963	          0.00850607	           0.0117524	                 0.5
         -0.00777251	           0.0169458	           0.0186433	         -0.00739243	           0.0112255	            0.013441	         -0.00758247	           0.0140857	           0.0159969	              0.5625
          -0.0152778	          0.00990622	           0.0182084	         7.23234e-05	           0.0169488	            0.016949	         -0.00760275	           0.0134275	           0.0154305	               0.625
          -0.0154404	          0.00981874	            0.018298	          0.00325807	           0.0195076	           0.0197778	         -0.00609119	           0.0146632	            0.015878	              0.6875
          -0.0189157	          0.00187307	           0.0190082	         0.000336918	           0.0229512	           0.0229537	         -0.00928941	           0.0124121	           0.0155034	                0.75
          -0.0221322	          0.00520825	           0.0227368	          -0.0043035	           0.0292794	            0.029594	          -0.0132178	           0.0172438	            0.021727	              0.8125
          -0.0180083	           0.0123289	           0.0218243	         -0.00631964	           0.0350399	           0.0356052	           -0.012164	           0.0236844	           0.0266254	               0.875
          -0.0237019	           0.0140403	           0.0275484	         -0.00631761	           0.0362267	           0.0367734	          -0.0150098	           0.0251335	           0.0292743	              0.9375
          -0.0194073	           0.0160437	           0.0251803	         -0.00651278	           0.0333487	           0.0339787	          -0.0129601	           0.0246962	           0.0278903	                   1
          -0.0221788	           0.0215239	           0.0309059	         -0.00653936	           0.0295106	           0.0302265	          -0.0143591	           0.0255173	           0.0292799	              1.0625
           -0.029408	           0.0296854	           0.0417858	          -0.0046494	           0.0257356	           0.0261523	          -0.0170287	           0.0277105	           0.0325246	               1.125
          -0.0242242	           0.0161404	           0.0291088	         -0.00164966	           0.0213189	           0.0213826	          -0.0129369	           0.0187296	           0.0227632	              1.1875
          -0.0240901	          0.00801229	           0.0253876	        -0.000308538	           0.0183089	           0.0183115	          -0.0121993	           0.0131606	           0.0179451	                1.25
          -0.0290492	          0.00759731	           0.0300262	        -0.000549991	           0.0204814	           0.0204888	          -0.0147996	           0.0140394	           0.0203993	              1.3125
          -0.0394966	          0.00625507	           0.0399888	         0.000898215	           0.0277505	            0.027765	          -0.0192992	           0.0170028	           0.0257207	               1.375
          -0.0380022	           0.0116946	           0.0397609	          0.00505495	           0.0350159	           0.0353789	          -0.0164736	           0.0233552	           0.0285805	              1.4375
          -0.0394359	           0.0030912	           0.0395568	          0.00755284	           0.0380422	           0.0387848	          -0.0159415	           0.0205667	           0.0260216	                 1.5
          -0.0450166	        -0.000609084	           0.0450207	          0.00417861	            0.038707	           0.0389319	           -0.020419	            0.019049	           0.0279248	              1.5625
          -0.0407185	          0.00266314	           0.0408055	         -0.00284106	           0.0410198	           0.0411181	          -0.0217798	           0.0218415	           0.0308449	               1.625
          -0.0426484	          0.00249881	           0.0427216	         -0.00779164	           0.0439379	           0.0446234	            -0.02522	           0.0232183	           0.0342803	              1.6875
          -0.0332342	         -0.00855382	           0.0343173	         -0.00923153	           0.0421178	           0.0431177	          -0.0212329	            0.016782	           0.0270642	                1.75
          -0.0311699	          -0.0208348	            0.037492	          -0.0118114	           0.0341591	           0.0361435	          -0.0214907	          0.00666214	           0.0224996	              1.8125
          -0.0422318	          -0.0155589	           0.0450067	          -0.0189362	             0.02602	           0.0321811	           -0.030584	          0.00523057	           0.0310281	               1.875
          -0.0444514	          -0.0219986	            0.049597	          -0.0270638	           0.0239811	           0.0361599	          -0.0357576	         0.000991265	           0.0357713	              1.9375
          -0.0394167	           -0.027957	           0.0483246	          -0.0301614	           0.0278201	           0.0410325	           -0.034789	        -6.84717e-05	           0.0347891	                   2
          -0.0314092	          -0.0304698	             0.04376	           -0.027291	           0.0326513	           0.0425548	          -0.0293501	          0.00109078	           0.0293703	              2.0625
          -0.0353769	          -0.0327955	           0.0482397	          -0.0227376	           0.0358916	           0.0424877	          -0.0290573	          0.00154802	           0.0290985	               2.125
          -0.0314145	          -0.0213719	           0.0379951	          -0.0193943	           0.0391339	            0.043676	          -0.0254044	          0.00888098	            0.026912	              2.1875
          -0.0288668	          -0.0198571	           0.0350371	          -0.0164051	           0.0430755	           0.0460936	           -0.022636	           0.0116092	           0.0254394	                2.25
          -0.0334833	          -0.0220844	           0.0401105	          -0.0130369	           0.0453141	           0.0471522	          -0.0232601	           0.0116148	           0.0259988	              2.3125
          -0.0336288	           -0.022364	           0.0403862	          -0.0111127	           0.0441074	           0.0454857	          -0.0223708	           0.0108717	           0.0248726	               2.375
          -0.0471544	          -0.0159573	           0.0497813	          -0.0120531	           0.0413905	           0.0431097	          -0.0296038	           0.0127166	           0.0322195	              2.4375
          -0.0489928	          -0.0147723	           0.0511715	          -0.0132466	           0.0393842	           0.0415522	          -0.0311197	           0.0123059	           0.0334645	                 2.5
          -0.0431162	          -0.0215198	           0.0481883	          -0.0113354	           0.0365901	           0.0383057	          -0.0272258	          0.00753515	           0.0282493	              2.5625
          -0.0438521	          -0.0127027	           0.0456548	         -0.00746862	           0.0304471	           0.0313498	          -0.0256603	           0.0088722	           0.0271509	               2.625
          -0.0478874	          -0.0141174	           0.0499249	          -0.0056575	             0.02234	           0.0230452	          -0.0267724	          0.00411128	           0.0270863	              2.6875
          -0.0519484	          -0.0173336	           0.0547639	         -0.00634073	            0.017287	           0.0184132	          -0.0291446	        -2.33068e-05	           0.0291446	                2.75
          -0.0473662	          -0.0189389	           0.0510121	         -0.00521838	           0.0170657	           0.0178457	          -0.0262923	        -0.000936587	            0.026309	              2.8125
          -0.0513783	          -0.0260736	           0.0576157	        -0.000219643	           0.0172031	           0.0172045	           -0.025799	         -0.00443526	           0.0261774	               2.875
          -0.0482456	          -0.0239964	           0.0538838	          0.00427615	           0.0133854	           0.0140519	          -0.0219847	         -0.00530547	           0.0226158	              2.9375
          -0.0473456	          -0.0264883	           0.0542516	          0.00223908	           0.0077805	          0.00809627	          -0.0225533	         -0.00935392	           0.0244161	                   3
          -0.0527731	          -0.0289659	           0.0601998	         -0.00601783	          0.00636734	          0.00876113	          -0.0293954	          -0.0112993	           0.0314923	              3.0625
          -0.0445315	          -0.0331083	           0.0554906	          -0.0140463	           0.0105132	            0.017545	          -0.0292889	          -0.0112975	           0.0313923	               3.125
          -0.0455465	          -0.0312516	           0.0552372	          -0.0178654	           0.0152654	           0.0234991	           -0.031706	         -0.00799309	            0.032698	              3.1875
          -0.0458352	          -0.0344923	           0.0573636	           -0.019794	           0.0160062	           0.0254559	          -0.0328146	         -0.00924303	           0.0340915	                3.25
          -0.0427515	          -0.0484563	           0.0646197	          -0.0234519	              0.0138	           0.0272109	          -0.0331017	          -0.0173281	           0.0373629	              3.3125
          -0.0373281	          -0.0401581	           0.0548275	          -0.0280579	           0.0125662	           0.0307434	           -0.032693	          -0.0137959	           0.0354847	               3.375
          -0.0309145	          -0.0333139	            0.045448	          -0.0303524	           0.0127502	           0.0329217	          -0.0306334	          -0.0102818	           0.0323129	              3.4375
          -0.0286609	           -0.031505	           0.0425912	          -0.0298854	           0.0120094	           0.0322081	          -0.0292731	         -0.00974784	           0.0308535	                 3.5
          -0.0225168	          -0.0315801	           0.0387854	          -0.0289689	           0.0100858	           0.0306744	          -0.0257428	          -0.0107471	           0.0278961	              3.5625
          -0.0289102	          -0.0364865	           0.0465517	          -0.0283769	          0.00932258	           0.0298691	          -0.0286436	          -0.0135819	           0.0317005	               3.625
          -0.0252085	          -0.0334004	           0.0418456	           -0.025957	           0.0103456	           0.0279428	          -0.0255828	          -0.0115274	           0.0280599	              3.6875
          -0.0183999	          -0.0360594	           0.0404826	          -0.0213259	           0.0104879	           0.0237653	          -0.0198629	          -0.0127858	           0.0236223	                3.75
          -0.0249107	          -0.0398179	           0.0469682	          -0.0179501	          0.00850387	           0.0198626	          -0.0214304	           -0.015657	           0.0265406	              3.8125
          -0.0233972	          -0.0440179	           0.0498499	          -0.0181862	          0.00745871	           0.0196563	          -0.0207917	          -0.0182796	           0.0276847	               3.875
          -0.0242978	          -0.0303083	           0.0388456	          -0.0194403	           0.0107012	            0.022191	          -0.0218691	         -0.00980355	           0.0239659	              3.9375
          -0.0203502	          -0.0124861	           0.0238753	          -0.0177755	           0.0161754	           0.0240336	          -0.0190628	          0.00184465	           0.0191519	                   4
          -0.0153013	          -0.0182012	           0.0237784	          -0.0144412	           0.0187473	           0.0236646	          -0.0148713	         0.000273066	           0.0148738	              4.0625
         -0.00929783	          -0.0147932	           0.0174725	          -0.0147606	           0.0182713	           0.0234886	          -0.0120292	          0.00173904	           0.0121543	               4.125
          -0.0036195	          -0.0079438	          0.00872953	          -0.0203278	            0.020325	           0.0287459	          -0.0119736	          0.00619059	           0.0134793	              4.1875
        -0.000981999	         -0.00053618	          0.00111884	          -0.0257064	           0.0284826	           0.0383677	          -0.0133442	           0.0139732	           0.0193215	                4.25
          0.00981685	          0.00279909	           0.0102081	          -0.0248962	           0.0387985	           0.0460993	          -0.0075397	           0.0207988	           0.0221232	              4.3125
          0.00289622	         -0.00251483	          0.00383569	          -0.0189984	           0.0445222	           0.0484063	         -0.00805108	           0.0210037	           0.0224939	               4.375
         -0.00166515	          0.00113366	          0.00201443	          -0.0136205	            0.044417	           0.0464585	         -0.00764284	           0.0227753	           0.0240235	              4.4375
           0.0034681	            0.007407	          0.00817872	          -0.0111718	           0.0427869	           0.0442213	         -0.00385186	           0.0250969	           0.0253908	                 4.5
          0.00318167	           0.0150753	           0.0154073	         -0.00910712	           0.0426292	           0.0435912	         -0.00296273	           0.0288522	            0.029004	              4.5625
           0.0108317	           0.0071016	           0.0129522	         -0.00522067	           0.0421916	           0.0425134	          0.00280552	           0.0246466	           0.0248058	               4.625
           0.0138694	          0.00658975	           0.0153553	         -0.00148754	           0.0397354	           0.0397633	          0.00619091	           0.0231626	           0.0239757	              4.6875
           0.0155711	           0.0215317	            0.026572	        -0.000496408	           0.0373204	           0.0373237	          0.00753733	           0.0294261	           0.0303761	                4.75
           0.0121821	            0.019363	           0.0228764	         -0.00133253	           0.0375311	           0.0375547	          0.00542477	           0.0284471	           0.0289597	              4.8125
