Sin-Comp-1	Cos-Comp-1	Magnitude-1	Sin-Comp-2	Cos-Comp-2	Magnitude-2	Sin-Comp-Total	Cos-Comp-Total	Magnitude-Total	Time
         2.63563e-10	         8.14544e-10	         8.56123e-10	         2.63563e-10	         8.14544e-10	         8.56123e-10	         2.63563e-10	         8.14544e-10	         8.56123e-10	                   0
         -0.00297041	          0.00509957	          0.00590161	         -0.00419193	        -0.000386251	          0.00420968	         -0.00358117	          0.00235666	          0.00428703	              0.0625
         -0.00200606	           0.0115383	           0.0117114	          -0.0120847	         -0.00107874	           0.0121327	         -0.00704536	          0.00522979	          0.00877427	               0.125
         -0.00499208	           0.0126829	             0.01363	          -0.0196173	          0.00107436	           0.0196467	          -0.0123047	          0.00687863	           0.0140969	              0.1875
          0.00454552	           0.0151492	           0.0158164	          -0.0215151	          0.00422619	           0.0219263	          -0.0084848	          0.00968769	            0.012878	                0.25
          0.00143521	           0.0148979	           0.0149669	          -0.0180267	          0.00381348	           0.0184256	         -0.00829574	          0.00935568	           0.0125039	              0.3125
         -0.00611069	           0.0153734	           0.0165434	          -0.0147103	        -7.19157e-05	           0.0147105	          -0.0104105	          0.00765076	           0.0129195	               0.375
        -0.000686448	          0.00803698	          0.00806625	          -0.0142223	         -0.00170889	           0.0143246	         -0.00745438	          0.00316405	          0.00809809	              0.4375
         -0.00308215	           0.0138817	           0.0142197	          -0.0130105	          0.00294989	           0.0133407	         -0.00804632	          0.00841578	           0.0116434	                 0.5
         -0.00771424	           0.0168009	           0.0184873	         -0.00736859	           0.0110583	           0.0132884	         -0.00754142	           0.0139296	             0.01584	              0.5625
          -0.0152463	           0.0097217	           0.0180821	          0.00012885	           0.0167576	           0.0167581	         -0.00755873	           0.0132397	           0.0152454	               0.625
          -0.0154268	          0.00960743	           0.0181738	          0.00331699	           0.0192877	           0.0195708	         -0.00605489	           0.0144475	            0.015665	              0.6875
          -0.0188395	          0.00166551	           0.0189129	         0.000485014	           0.0227803	           0.0227854	         -0.00917722	           0.0122229	           0.0152847	                0.75
          -0.0220042	          0.00495869	            0.022556	         -0.00411146	           0.0290849	            0.029374	          -0.0130578	           0.0170218	           0.0214534	              0.8125
          -0.0178876	           0.0120285	           0.0215558	         -0.00615536	           0.0348102	           0.0353502	          -0.0120215	           0.0234193	           0.0263245	               0.875
          -0.0235755	           0.0137118	            0.027273	         -0.00614485	           0.0359617	            0.036483	          -0.0148602	           0.0248368	           0.0289429	              0.9375
          -0.0193055	           0.0157204	           0.0248965	         -0.00640243	           0.0330713	           0.0336854	           -0.012854	           0.0243959	            0.027575	                   1
           -0.022055	            0.021182	           0.0305794	         -0.00638436	           0.0291461	           0.0298371	          -0.0142197	            0.025164	           0.0289038	              1.0625
          -0.0292654	           0.0293237	           0.0414288	         -0.00442295	           0.0252937	           0.0256775	          -0.0168442	           0.0273087	           0.0320857	               1.125
          -0.0240966	           0.0158551	           0.0288449	         -0.00142683	           0.0210153	           0.0210636	          -0.0127617	           0.0184352	           0.0224213	              1.1875
          -0.0239748	          0.00778366	           0.0252067	        -0.000103608	           0.0180956	           0.0180959	          -0.0120392	           0.0129396	           0.0176742	                1.25
          -0.0289215	          0.00737276	           0.0298464	        -0.000328642	           0.0203017	           0.0203044	          -0.0146251	           0.0138372	           0.0201336	              1.3125
          -0.0393486	           0.0059672	           0.0397985	          0.00116724	           0.0275278	           0.0275525	          -0.0190907	           0.0167475	           0.0253955	               1.375
          -0.0379031	           0.0113123	           0.0395552	          0.00526975	           0.0346932	           0.0350912	          -0.0163167	           0.0230028	           0.0282022	              1.4375
          -0.0393376	           0.0026978	             0.03943	          0.00780075	           0.0377279	           0.0385259	          -0.0157684	           0.0202128	           0.0256359	                 1.5
          -0.0448624	         -0.00100467	           0.0448736	          0.00450287	           0.0383983	           0.0386614	          -0.0201797	           0.0186968	           0.0275099	              1.5625
          -0.0405036	          0.00224455	           0.0405658	         -0.00248604	           0.0407012	           0.0407771	          -0.0214948	           0.0214729	           0.0303828	               1.625
          -0.0423816	          0.00206115	           0.0424317	         -0.00740813	           0.0436138	           0.0442385	          -0.0248949	           0.0228375	           0.0337832	              1.6875
          -0.0330083	         -0.00893307	           0.0341957	         -0.00895143	           0.0419188	           0.0428639	          -0.0209799	           0.0164928	           0.0266865	                1.75
          -0.0309441	          -0.0211253	           0.0374675	          -0.0115647	           0.0340571	            0.035967	          -0.0212544	          0.00646589	           0.0222162	              1.8125
          -0.0419144	          -0.0158351	           0.0448059	          -0.0185996	           0.0258589	           0.0318532	           -0.030257	          0.00501191	           0.0306693	               1.875
          -0.0440404	          -0.0222463	           0.0493403	          -0.0266362	           0.0238428	           0.0357487	          -0.0353383	         0.000798243	           0.0353473	              1.9375
          -0.0389852	          -0.0282249	           0.0481299	           -0.029729	           0.0276948	           0.0406302	          -0.0343571	        -0.000265039	           0.0343581	                   2
          -0.0310076	          -0.0307405	            0.043663	          -0.0269016	           0.0325743	           0.0422466	          -0.0289546	         0.000916856	           0.0289691	              2.0625
          -0.0349852	          -0.0330709	            0.048142	          -0.0223289	           0.0358427	           0.0422289	          -0.0286571	          0.00138592	           0.0286906	               2.125
          -0.0310842	           -0.021703	            0.037911	          -0.0190655	           0.0390039	           0.0434142	          -0.0250748	          0.00865043	            0.026525	              2.1875
          -0.0285633	          -0.0202452	           0.0350105	          -0.0161121	           0.0428915	           0.0458179	          -0.0223377	           0.0113231	           0.0250437	                2.25
          -0.0331884	          -0.0225043	           0.0400988	          -0.0127312	           0.0450923	           0.0468551	          -0.0229598	            0.011294	           0.0255872	              2.3125
          -0.0333312	          -0.0227811	           0.0403727	          -0.0107801	           0.0438803	            0.045185	          -0.0220557	           0.0105496	           0.0244488	               2.375
          -0.0467749	          -0.0163917	           0.0495639	          -0.0115777	           0.0411076	           0.0427068	          -0.0291763	           0.0123579	           0.0316856	              2.4375
          -0.0485818	          -0.0151783	           0.0508977	          -0.0127393	           0.0391415	           0.0411624	          -0.0306606	           0.0119816	           0.0329185	                 2.5
          -0.0427328	          -0.0218651	           0.0480018	          -0.0108851	            0.036429	           0.0380205	          -0.0268089	          0.00728194	           0.0277803	              2.5625
          -0.0435177	          -0.0130458	           0.0454311	         -0.00707617	           0.0302356	           0.0310526	           -0.025297	          0.00859489	           0.0267172	               2.625
