Sin-Comp-1	Cos-Comp-1	Magnitude-1	Sin-Comp-2	Cos-Comp-2	Magnitude-2	Sin-Comp-Total	Cos-Comp-Total	Magnitude-Total	Time
         2.63563e-10	         8.14544e-10	         8.56123e-10	         2.63563e-10	         8.14544e-10	         8.56123e-10	         2.63563e-10	         8.14544e-10	         8.56123e-10	                   0
         -0.00295842	          0.00511589	           0.0059097	          -0.0041597	        -0.000355674	          0.00417488	         -0.00355906	          0.00238011	          0.00428157	              0.0625
         -0.00202063	           0.0115487	           0.0117241	           -0.012078	         -0.00105255	           0.0121238	         -0.00704932	          0.00524806	          0.00878835	               0.125
         -0.00505033	           0.0127233	            0.013689	          -0.0196591	          0.00115788	           0.0196932	          -0.0123547	          0.00694059	           0.0141708	              0.1875
          0.00449563	           0.0151844	           0.0158359	          -0.0215185	          0.00427863	           0.0219397	         -0.00851144	          0.00973151	           0.0129285	                0.25
          0.00137514	           0.0149467	           0.0150099	          -0.0180589	          0.00388361	           0.0184718	          -0.0083419	          0.00941518	           0.0125791	              0.3125
         -0.00615282	            0.015414	           0.0165967	          -0.0147248	         -1.7827e-06	           0.0147248	          -0.0104388	          0.00770613	           0.0129751	               0.375
        -0.000733729	          0.00803839	           0.0080718	          -0.0142463	         -0.00170147	           0.0143475	         -0.00748999	          0.00316846	           0.0081326	              0.4375
         -0.00311456	           0.0139151	           0.0142594	          -0.0130065	          0.00301723	           0.0133518	         -0.00806051	          0.00846615	           0.0116896	                 0.5
          -0.0077434	           0.0168538	           0.0185475	         -0.00737201	           0.0111307	           0.0133506	         -0.00755771	           0.0139922	           0.0159029	              0.5625
          -0.0152827	          0.00980261	           0.0181563	          7.5365e-05	           0.0168597	           0.0168598	         -0.00760367	           0.0133311	           0.0153472	               0.625
          -0.0154296	          0.00968681	           0.0182183	          0.00330334	           0.0193712	           0.0196509	         -0.00606311	            0.014529	           0.0157434	              0.6875
          -0.0188723	          0.00173233	           0.0189516	         0.000420711	           0.0228312	           0.0228351	         -0.00922578	           0.0122818	           0.0153609	                0.75
          -0.0220402	          0.00504521	           0.0226103	         -0.00415978	           0.0291554	           0.0294507	             -0.0131	           0.0171003	           0.0215414	              0.8125
          -0.0179257	           0.0121325	           0.0216455	         -0.00619848	           0.0348819	           0.0354283	          -0.0120621	           0.0235072	           0.0264212	               0.875
          -0.0236249	            0.013859	           0.0273899	         -0.00621164	           0.0361059	           0.0366363	          -0.0149183	           0.0249825	           0.0290977	              0.9375
          -0.0193443	           0.0158501	           0.0250086	         -0.00643961	           0.0331824	           0.0338014	          -0.0128919	           0.0245162	           0.0276992	                   1
          -0.0221173	           0.0213159	           0.0307172	         -0.00646597	            0.029285	           0.0299903	          -0.0142917	           0.0253004	           0.0290579	              1.0625
          -0.0293232	           0.0294721	           0.0415747	         -0.00450206	           0.0254752	             0.02587	          -0.0169126	           0.0274736	            0.032262	               1.125
           -0.024159	           0.0159656	           0.0289579	         -0.00152538	           0.0211277	           0.0211827	          -0.0128422	           0.0185466	           0.0225588	              1.1875
          -0.0240085	          0.00788174	           0.0252691	        -0.000156346	           0.0181983	           0.0181989	          -0.0120824	             0.01304	           0.0177771	                1.25
          -0.0289538	          0.00745097	           0.0298971	        -0.000373859	           0.0203659	           0.0203694	          -0.0146638	           0.0139084	           0.0202107	              1.3125
           -0.039416	          0.00608186	           0.0398824	          0.00105464	           0.0276404	           0.0276605	          -0.0191807	           0.0168611	           0.0255381	               1.375
          -0.0379442	           0.0114607	           0.0396372	          0.00519382	            0.034834	           0.0352191	          -0.0163752	           0.0231473	           0.0283539	              1.4375
          -0.0393874	          0.00285088	           0.0394905	          0.00768456	           0.0378587	           0.0386308	          -0.0158514	           0.0203548	            0.025799	                 1.5
          -0.0449121	         -0.00085307	           0.0449202	          0.00438955	            0.038521	           0.0387703	          -0.0202613	            0.018834	           0.0276629	              1.5625
          -0.0405751	          0.00238214	           0.0406449	         -0.00260664	           0.0407877	           0.0408709	          -0.0215909	           0.0215849	           0.0305299	               1.625
          -0.0424763	          0.00224257	           0.0425355	          -0.0075471	           0.0437726	           0.0444184	          -0.0250117	           0.0230076	           0.0339843	              1.6875
          -0.0330834	         -0.00876396	           0.0342245	         -0.00903875	           0.0420279	           0.0429889	          -0.0210611	            0.016632	           0.0268364	                1.75
          -0.0310271	          -0.0209883	           0.0374592	          -0.0116621	           0.0341307	           0.0360681	          -0.0213446	          0.00657116	           0.0223332	              1.8125
          -0.0420159	          -0.0157102	            0.044857	          -0.0187044	           0.0259506	           0.0319888	          -0.0303602	          0.00512019	           0.0307889	               1.875
          -0.0442025	          -0.0221546	           0.0494438	          -0.0268216	           0.0238955	           0.0359221	          -0.0355121	         0.000870451	           0.0355227	              1.9375
          -0.0391552	          -0.0281196	           0.0482063	          -0.0299022	           0.0277583	           0.0408002	          -0.0345287	        -0.000180672	           0.0345292	                   2
          -0.0311541	           -0.030649	           0.0437028	           -0.027026	            0.032586	            0.042335	          -0.0290901	         0.000968532	           0.0291062	              2.0625
          -0.0351357	          -0.0329624	           0.0481771	          -0.0224809	           0.0358749	           0.0423368	          -0.0288083	          0.00145629	           0.0288451	               2.125
          -0.0312012	          -0.0215758	           0.0379345	          -0.0191663	           0.0390635	           0.0435121	          -0.0251837	          0.00874385	           0.0266585	              2.1875
          -0.0286908	          -0.0200915	           0.0350261	          -0.0162393	           0.0429836	            0.045949	          -0.0224651	           0.0114461	           0.0252129	                2.25
           -0.033303	          -0.0223281	           0.0400953	          -0.0128491	           0.0452125	           0.0470029	           -0.023076	           0.0114422	           0.0257571	              2.3125
          -0.0334421	          -0.0226316	           0.0403802	          -0.0109035	           0.0439413	           0.0452739	          -0.0221728	           0.0106549	              0.0246	               2.375
          -0.0469121	          -0.0162193	           0.0496368	          -0.0117463	           0.0412227	           0.0428635	          -0.0293292	           0.0125017	           0.0318825	              2.4375
          -0.0487242	          -0.0150207	           0.0509869	          -0.0129046	           0.0392343	            0.041302	          -0.0308144	           0.0121068	           0.0331074	                 2.5
          -0.0428837	          -0.0217204	           0.0480706	          -0.0110593	           0.0365061	           0.0381445	          -0.0269715	          0.00739287	           0.0279664	              2.5625
          -0.0436315	          -0.0128889	           0.0454954	         -0.00719214	           0.0303513	           0.0311918	          -0.0254118	           0.0087312	             0.02687	               2.625
          -0.0476812	          -0.0142818	           0.0497742	         -0.00540873	           0.0222407	           0.0228889	           -0.026545	          0.00397946	           0.0268416	              2.6875
