# rk methods' comparison!
## Solutions with Parameters: t0 = 0.000000, t1 = 5.000000, dt = 0.062500, y0 = 1.000000
                rk12	                rk23	                rk34	                rk45	      exact solution	              time12	              time23	              time34	              time45	                time	

                   1	                   1	                   1	                   1	                   1	                   0	                   0	                   0	                   0	                   0	
            0.960744	            0.951371	            0.951229	            0.951682	            0.951229	           0.0490699	              0.0625	              0.0625	              0.0625	              0.0625	
            0.923029	            0.905107	            0.904837	            0.905699	            0.904837	           0.0981397	               0.125	               0.125	               0.125	               0.125	
            0.886795	            0.861093	            0.860707	            0.861937	            0.860708	             0.14721	              0.1875	              0.1875	              0.1875	              0.1875	
            0.851983	            0.819219	             0.81873	             0.82029	            0.818731	            0.196279	                0.25	                0.25	                0.25	                0.25	
            0.818538	            0.779381	              0.7788	            0.780656	            0.778801	            0.245349	              0.3125	              0.3125	              0.3125	              0.3125	
            0.786405	             0.74148	            0.740817	            0.742936	            0.740818	            0.294419	               0.375	               0.375	               0.375	               0.375	
            0.755534	            0.705423	            0.704687	            0.707039	            0.704688	            0.343489	              0.4375	              0.4375	              0.4375	              0.4375	
            0.725875	            0.671119	            0.670319	            0.672876	             0.67032	            0.392559	                 0.5	                 0.5	                 0.5	                 0.5	
             0.69738	            0.638483	            0.637627	            0.640364	            0.637628	            0.441629	              0.5625	              0.5625	              0.5625	              0.5625	
            0.670004	            0.607435	            0.606529	            0.609423	            0.606531	            0.490699	               0.625	               0.625	               0.625	               0.625	
            0.643702	            0.577896	            0.576948	            0.579977	             0.57695	            0.539769	              0.6875	              0.6875	              0.6875	              0.6875	
            0.618433	            0.549793	             0.54881	            0.551954	            0.548812	            0.588838	                0.75	                0.75	                0.75	                0.75	
            0.594156	            0.523057	            0.522044	            0.525284	            0.522046	            0.637908	              0.8125	              0.8125	              0.8125	              0.8125	
            0.570832	            0.497622	            0.496583	            0.499904	            0.496585	            0.686978	               0.875	               0.875	               0.875	               0.875	
            0.548423	            0.473423	            0.472365	            0.475749	            0.472367	            0.736048	              0.9375	              0.9375	              0.9375	              0.9375	
            0.526895	            0.450401	            0.449327	            0.452762	            0.449329	            0.785118	                   1	                   1	                   1	                   1	
            0.506211	            0.428498	            0.427413	            0.430886	            0.427415	            0.834188	              1.0625	              1.0625	              1.0625	              1.0625	
            0.486339	            0.407661	            0.406568	            0.410066	             0.40657	            0.883258	               1.125	               1.125	               1.125	               1.125	
            0.467247	            0.387837	            0.386739	            0.390253	            0.386741	            0.932327	              1.1875	              1.1875	              1.1875	              1.1875	
