# rk methods' comparison!
## Solutions with Parameters: t0 = 0.000000, t1 = 5.000000, dt = 0.062500, y0 = 1.000000
                rk12	                rk23	                rk34	                rk45	      exact solution	              time12	              time23	              time34	              time45	                time	

                   1	                   1	                   1	                   1	                   1	                   0	                   0	                   0	                   0	                   0	
            0.960744	             0.95125	            0.951229	              0.9889	            0.951229	           0.0490699	              0.0625	              0.0625	           0.0139528	              0.0625	
            0.923029	            0.904877	            0.904837	            0.977923	            0.904837	           0.0981397	               0.125	               0.125	           0.0279057	               0.125	
            0.886795	            0.860764	            0.860707	            0.967068	            0.860708	             0.14721	              0.1875	              0.1875	           0.0418585	              0.1875	
            0.851983	            0.818802	             0.81873	            0.956333	            0.818731	            0.196279	                0.25	                0.25	           0.0558114	                0.25	
            0.818538	            0.778885	              0.7788	            0.945717	            0.778801	            0.245349	              0.3125	              0.3125	           0.0697642	              0.3125	
            0.786405	            0.740914	            0.740817	             0.93522	            0.740818	            0.294419	               0.375	               0.375	           0.0837171	               0.375	
            0.755534	            0.704795	            0.704687	            0.924839	            0.704688	            0.343489	              0.4375	              0.4375	           0.0976699	              0.4375	
            0.725875	            0.670436	            0.670319	            0.914573	             0.67032	            0.392559	                 0.5	                 0.5	            0.111623	                 0.5	
             0.69738	            0.637752	            0.637627	            0.904421	            0.637628	            0.441629	              0.5625	              0.5625	            0.125576	              0.5625	
            0.670004	            0.606662	            0.606529	            0.894382	            0.606531	            0.490699	               0.625	               0.625	            0.139528	               0.625	
            0.643702	            0.577087	            0.576948	            0.884454	             0.57695	            0.539769	              0.6875	              0.6875	            0.153481	              0.6875	
            0.618433	            0.548954	             0.54881	            0.874636	            0.548812	            0.588838	                0.75	                0.75	            0.167434	                0.75	
            0.594156	            0.522193	            0.522044	            0.864927	            0.522046	            0.637908	              0.8125	              0.8125	            0.181387	              0.8125	
            0.570832	            0.496736	            0.496583	            0.855327	            0.496585	            0.686978	               0.875	               0.875	             0.19534	               0.875	
            0.548423	             0.47252	            0.472365	            0.845832	            0.472367	            0.736048	              0.9375	              0.9375	            0.209293	              0.9375	
            0.526895	            0.449484	            0.449327	            0.836443	            0.449329	            0.785118	                   1	                   1	            0.223246	                   1	
            0.506211	            0.427572	            0.427413	            0.827159	            0.427415	            0.834188	              1.0625	              1.0625	            0.237198	              1.0625	
            0.486339	            0.406728	            0.406568	            0.817977	             0.40657	            0.883258	               1.125	               1.125	            0.251151	               1.125	
            0.467247	              0.3869	            0.386739	            0.808897	            0.386741	            0.932327	              1.1875	              1.1875	            0.265104	              1.1875	
