# rk methods' comparison!
## Solutions with Parameters: t0 = 0.000000, t1 = 5.000000, dt = 0.062500, y0 = 1.000000
                  ab	                abm1	                abm2	                abm3	                abm4	                abm5	                abm6	      exact solution	                time	

                   1	                   1	                   1	                   1	                   1	                   1	                   1	                  -1	
                   1	                   1	                   1	                   1	                   1	                   1	                   1	             -0.9375	
                   1	                   1	                   1	                   1	                   1	                   1	                   1	              -0.875	
                   1	                   1	                   1	                   1	                   1	                   1	                   1	             -0.8125	
                   1	                   1	                   1	                   1	                   1	                   1	                   1	               -0.75	
                   1	                   1	                   1	                   1	                   1	                   1	                   1	             -0.6875	
                   1	                   1	                   1	                   1	                   1	                   1	                   1	              -0.625	
                   1	                   1	                   1	                   1	                   1	                   1	                   1	             -0.5625	
                   1	                   1	                   1	                   1	                   1	                   1	                   1	                -0.5	
                   1	                   1	                   1	                   1	                   1	                   1	                   1	             -0.4375	
                   1	                   1	                   1	                   1	                   1	                   1	                   1	              -0.375	
                   1	                   1	                   1	                   1	                   1	                   1	                   1	             -0.3125	
                   1	                   1	                   1	                   1	                   1	                   1	                   1	               -0.25	
                   1	                   1	                   1	                   1	                   1	                   1	                   1	             -0.1875	
                   1	                   1	                   1	                   1	                   1	                   1	                   1	              -0.125	
                   1	                   1	                   1	                   1	                   1	                   1	                   1	             -0.0625	
                   1	                   1	                   1	                   1	                   1	                   1	                   1	                   0	
                0.95	                0.95	                0.95	                0.95	                0.95	                0.95	                0.95	              0.0625	
                 0.9	                 0.9	                 0.9	                 0.9	                 0.9	                 0.9	                 0.9	               0.125	
                0.85	                0.85	                0.85	                0.85	                0.85	                0.85	                0.85	              0.1875	
                 0.8	                 0.8	                 0.8	                 0.8	                 0.8	                 0.8	                 0.8	                0.25	
                0.75	                0.75	                0.75	                0.75	                0.75	                0.75	                0.75	              0.3125	
                 0.7	                 0.7	                 0.7	                 0.7	                 0.7	                 0.7	                 0.7	               0.375	
                0.65	                0.65	                0.65	                0.65	                0.65	                0.65	                0.65	              0.4375	
                 0.6	                 0.6	                 0.6	                 0.6	                 0.6	                 0.6	                 0.6	                 0.5	
                0.55	                0.55	                0.55	                0.55	                0.55	                0.55	                0.55	              0.5625	
                 0.5	                 0.5	                 0.5	                 0.5	                 0.5	                 0.5	                 0.5	               0.625	
                0.45	                0.45	                0.45	                0.45	                0.45	                0.45	                0.45	              0.6875	
                 0.4	                 0.4	                 0.4	                 0.4	                 0.4	                 0.4	                 0.4	                0.75	
                0.35	                0.35	                0.35	                0.35	                0.35	                0.35	                0.35	              0.8125	
                 0.3	                 0.3	                 0.3	                 0.3	                 0.3	                 0.3	                 0.3	               0.875	
                0.25	                0.25	                0.25	                0.25	                0.25	                0.25	                0.25	              0.9375	
                 0.2	                 0.2	                 0.2	                 0.2	                 0.2	                 0.2	                 0.2	                   1	
                0.15	            0.150872	            0.150872	            0.150872	            0.150872	            0.150872	            0.150872	              1.0625	
            0.105729	            0.104858	            0.104858	            0.104858	            0.104858	            0.104858	            0.104858	               1.125	
           0.0610417	           0.0610417	           0.0610417	           0.0610417	           0.0610417	           0.0610417	           0.0610417	              1.1875	
           0.0197917	           0.0197917	           0.0197917	           0.0197917	           0.0197917	           0.0197917	           0.0197917	                1.25	
          -0.0189583	          -0.0189583	          -0.0189583	          -0.0189583	          -0.0189583	          -0.0189583	          -0.0189583	              1.3125	
          -0.0552083	          -0.0552083	          -0.0552083	          -0.0552083	          -0.0552083	          -0.0552083	          -0.0552083	               1.375	
          -0.0889583	          -0.0889583	          -0.0889583	          -0.0889583	          -0.0889583	          -0.0889583	          -0.0889583	              1.4375	
           -0.120208	           -0.120208	           -0.120208	           -0.120208	           -0.120208	           -0.120208	           -0.120208	                 1.5	
           -0.148958	           -0.148958	           -0.148958	           -0.148958	           -0.148958	           -0.148958	           -0.148958	              1.5625	
           -0.175208	           -0.175208	           -0.175208	           -0.175208	           -0.175208	           -0.175208	           -0.175208	               1.625	
           -0.198958	           -0.198958	           -0.198958	           -0.198958	           -0.198958	           -0.198958	           -0.198958	              1.6875	
           -0.220208	           -0.220208	           -0.220208	           -0.220208	           -0.220208	           -0.220208	           -0.220208	                1.75	
           -0.238958	           -0.238958	           -0.238958	           -0.238958	           -0.238958	           -0.238958	           -0.238958	              1.8125	
           -0.255208	           -0.255208	           -0.255208	           -0.255208	           -0.255208	           -0.255208	           -0.255208	               1.875	
           -0.268958	           -0.268958	           -0.268958	           -0.268958	           -0.268958	           -0.268958	           -0.268958	              1.9375	
