# rk methods' comparison!
## Solutions with Parameters: t0 = 0.000000, t1 = 5.000000, dt = 0.062500, y0 = 1.000000
                  ab	                abm1	                abm2	                abm3	                abm4	                abm5	                abm6	      exact solution	                time	

                   1	                   1	                   1	                   1	                   1	                   1	                   1	                   1	                   0	
            0.951229	            0.951229	            0.951229	            0.951229	            0.951229	            0.951229	            0.951229	            0.951229	              0.0625	
            0.904837	            0.904837	            0.904837	            0.904837	            0.904837	            0.904837	            0.904837	            0.904837	               0.125	
            0.860708	            0.860708	            0.860708	            0.860708	            0.860708	            0.860708	            0.860708	            0.860708	              0.1875	
            0.818731	            0.818731	            0.818731	            0.818731	            0.818731	            0.818731	            0.818731	            0.818731	                0.25	
            0.778801	            0.778801	            0.778801	            0.778801	            0.778801	            0.778801	            0.778801	            0.778801	              0.3125	
            0.740818	            0.740818	            0.740818	            0.740818	            0.740818	            0.740818	            0.740818	            0.740818	               0.375	
            0.704688	            0.704688	            0.704688	            0.704688	            0.704688	            0.704688	            0.704688	            0.704688	              0.4375	
             0.67032	             0.67032	             0.67032	             0.67032	             0.67032	             0.67032	             0.67032	             0.67032	                 0.5	
            0.637629	            0.637628	            0.637628	            0.637628	            0.637628	            0.637628	            0.637628	            0.637628	              0.5625	
            0.606531	            0.606531	            0.606531	            0.606531	            0.606531	            0.606531	            0.606531	            0.606531	               0.625	
             0.57695	             0.57695	             0.57695	             0.57695	             0.57695	             0.57695	             0.57695	             0.57695	              0.6875	
            0.548812	            0.548812	            0.548812	            0.548812	            0.548812	            0.548812	            0.548812	            0.548812	                0.75	
            0.522046	            0.522046	            0.522046	            0.522046	            0.522046	            0.522046	            0.522046	            0.522046	              0.8125	
            0.496586	            0.496585	            0.496585	            0.496585	            0.496585	            0.496585	            0.496585	            0.496585	               0.875	
            0.472367	            0.472367	            0.472367	            0.472367	            0.472367	            0.472367	            0.472367	            0.472367	              0.9375	
             0.44933	            0.449329	            0.449329	            0.449329	            0.449329	            0.449329	            0.449329	            0.449329	                   1	
            0.427416	            0.427415	            0.427415	            0.427415	            0.427415	            0.427415	            0.427415	            0.427415	              1.0625	
             0.40657	             0.40657	             0.40657	             0.40657	             0.40657	             0.40657	             0.40657	             0.40657	               1.125	
            0.386742	            0.386741	            0.386741	            0.386741	            0.386741	            0.386741	            0.386741	            0.386741	              1.1875	
             0.36788	            0.367879	            0.367879	            0.367879	            0.367879	            0.367879	            0.367879	            0.367879	                1.25	
            0.349938	            0.349938	            0.349938	            0.349938	            0.349938	            0.349938	            0.349938	            0.349938	              1.3125	
            0.332872	            0.332871	            0.332871	            0.332871	            0.332871	            0.332871	            0.332871	            0.332871	               1.375	
            0.316638	            0.316637	            0.316637	            0.316637	            0.316637	            0.316637	            0.316637	            0.316637	              1.4375	
            0.301195	            0.301194	            0.301194	            0.301194	            0.301194	            0.301194	            0.301194	            0.301194	                 1.5	
            0.286506	            0.286505	            0.286505	            0.286505	            0.286505	            0.286505	            0.286505	            0.286505	              1.5625	
            0.272533	            0.272532	            0.272532	            0.272532	            0.272532	            0.272532	            0.272532	            0.272532	               1.625	
            0.259241	             0.25924	             0.25924	             0.25924	             0.25924	             0.25924	             0.25924	             0.25924	              1.6875	
            0.246598	            0.246597	            0.246597	            0.246597	            0.246597	            0.246597	            0.246597	            0.246597	                1.75	
            0.234571	             0.23457	             0.23457	             0.23457	             0.23457	             0.23457	             0.23457	             0.23457	              1.8125	
            0.223131	             0.22313	             0.22313	             0.22313	             0.22313	             0.22313	             0.22313	             0.22313	               1.875	
            0.212249	            0.212248	            0.212248	            0.212248	            0.212248	            0.212248	            0.212248	            0.212248	              1.9375	
            0.201897	            0.201897	            0.201897	            0.201897	            0.201897	            0.201897	            0.201897	            0.201897	                   2	
            0.192051	             0.19205	             0.19205	             0.19205	             0.19205	             0.19205	             0.19205	             0.19205	              2.0625	
            0.182684	            0.182684	            0.182684	            0.182684	            0.182684	            0.182684	            0.182684	            0.182684	               2.125	
            0.173775	            0.173774	            0.173774	            0.173774	            0.173774	            0.173774	            0.173774	            0.173774	              2.1875	
              0.1653	            0.165299	            0.165299	            0.165299	            0.165299	            0.165299	            0.165299	            0.165299	                2.25	
            0.157238	            0.157237	            0.157237	            0.157237	            0.157237	            0.157237	            0.157237	            0.157237	              2.3125	
            0.149569	            0.149569	            0.149569	            0.149569	            0.149569	            0.149569	            0.149569	            0.149569	               2.375	
            0.142275	            0.142274	            0.142274	            0.142274	            0.142274	            0.142274	            0.142274	            0.142274	              2.4375	
            0.135336	            0.135335	            0.135335	            0.135335	            0.135335	            0.135335	            0.135335	            0.135335	                 2.5	
            0.128735	            0.128735	            0.128735	            0.128735	            0.128735	            0.128735	            0.128735	            0.128735	              2.5625	
            0.122457	            0.122456	            0.122456	            0.122456	            0.122456	            0.122456	            0.122456	            0.122456	               2.625	
            0.116485	            0.116484	            0.116484	            0.116484	            0.116484	            0.116484	            0.116484	            0.116484	              2.6875	
            0.110804	            0.110803	            0.110803	            0.110803	            0.110803	            0.110803	            0.110803	            0.110803	                2.75	
              0.1054	            0.105399	            0.105399	            0.105399	            0.105399	            0.105399	            0.105399	            0.105399	              2.8125	
            0.100259	            0.100259	            0.100259	            0.100259	            0.100259	            0.100259	            0.100259	            0.100259	               2.875	
           0.0953697	           0.0953692	           0.0953692	           0.0953692	           0.0953692	           0.0953692	           0.0953692	           0.0953692	              2.9375	
           0.0907184	           0.0907179	            0.090718	            0.090718	            0.090718	            0.090718	            0.090718	            0.090718	                   3	
           0.0862941	           0.0862936	           0.0862936	           0.0862936	           0.0862936	           0.0862936	           0.0862936	           0.0862936	              3.0625	
           0.0820855	            0.082085	            0.082085	            0.082085	            0.082085	            0.082085	            0.082085	            0.082085	               3.125	
           0.0780821	           0.0780817	           0.0780817	           0.0780817	           0.0780817	           0.0780817	           0.0780817	           0.0780817	              3.1875	
            0.074274	           0.0742736	           0.0742736	           0.0742736	           0.0742736	           0.0742736	           0.0742736	           0.0742736	                3.25	
           0.0706516	           0.0706512	           0.0706512	           0.0706512	           0.0706512	           0.0706512	           0.0706512	           0.0706512	              3.3125	
           0.0672059	           0.0672055	           0.0672055	           0.0672055	           0.0672055	           0.0672055	           0.0672055	           0.0672055	               3.375	
           0.0639283	           0.0639279	           0.0639279	           0.0639279	           0.0639279	           0.0639279	           0.0639279	           0.0639279	              3.4375	
           0.0608104	           0.0608101	           0.0608101	           0.0608101	           0.0608101	           0.0608101	           0.0608101	           0.0608101	                 3.5	
           0.0578447	           0.0578443	           0.0578443	           0.0578443	           0.0578443	           0.0578443	           0.0578443	           0.0578443	              3.5625	
           0.0550236	           0.0550232	           0.0550232	           0.0550232	           0.0550232	           0.0550232	           0.0550232	           0.0550232	               3.625	
           0.0523401	           0.0523397	           0.0523397	           0.0523397	           0.0523397	           0.0523397	           0.0523397	           0.0523397	              3.6875	
           0.0497874	           0.0497871	           0.0497871	           0.0497871	           0.0497871	           0.0497871	           0.0497871	           0.0497871	                3.75	
           0.0473592	           0.0473589	           0.0473589	           0.0473589	           0.0473589	           0.0473589	           0.0473589	           0.0473589	              3.8125	
           0.0450495	           0.0450492	           0.0450492	           0.0450492	           0.0450492	           0.0450492	           0.0450492	           0.0450492	               3.875	
           0.0428524	           0.0428521	           0.0428521	           0.0428521	           0.0428521	           0.0428521	           0.0428521	           0.0428521	              3.9375	
           0.0407625	           0.0407622	           0.0407622	           0.0407622	           0.0407622	           0.0407622	           0.0407622	           0.0407622	                   4	
           0.0387745	           0.0387742	           0.0387742	           0.0387742	           0.0387742	           0.0387742	           0.0387742	           0.0387742	              4.0625	
           0.0368834	           0.0368832	           0.0368832	           0.0368832	           0.0368832	           0.0368832	           0.0368832	           0.0368832	               4.125	
           0.0350846	           0.0350844	           0.0350844	           0.0350844	           0.0350844	           0.0350844	           0.0350844	           0.0350844	              4.1875	
           0.0333735	           0.0333733	           0.0333733	           0.0333733	           0.0333733	           0.0333733	           0.0333733	           0.0333733	                4.25	
           0.0317459	           0.0317456	           0.0317456	           0.0317456	           0.0317456	           0.0317456	           0.0317456	           0.0317456	              4.3125	
           0.0301976	           0.0301974	           0.0301974	           0.0301974	           0.0301974	           0.0301974	           0.0301974	           0.0301974	               4.375	
           0.0287249	           0.0287246	           0.0287246	           0.0287246	           0.0287246	           0.0287246	           0.0287246	           0.0287246	              4.4375	
           0.0273239	           0.0273237	           0.0273237	           0.0273237	           0.0273237	           0.0273237	           0.0273237	           0.0273237	                 4.5	
           0.0259913	           0.0259911	           0.0259911	           0.0259911	           0.0259911	           0.0259911	           0.0259911	           0.0259911	              4.5625	
           0.0247237	           0.0247235	           0.0247235	           0.0247235	           0.0247235	           0.0247235	           0.0247235	           0.0247235	               4.625	
           0.0235179	           0.0235177	           0.0235177	           0.0235177	           0.0235177	           0.0235177	           0.0235177	           0.0235177	              4.6875	
            0.022371	           0.0223708	           0.0223708	           0.0223708	           0.0223708	           0.0223708	           0.0223708	           0.0223708	                4.75	
           0.0212799	           0.0212797	           0.0212797	           0.0212797	           0.0212797	           0.0212797	           0.0212797	           0.0212797	              4.8125	
           0.0202421	           0.0202419	           0.0202419	           0.0202419	           0.0202419	           0.0202419	           0.0202419	           0.0202419	               4.875	
           0.0192549	           0.0192547	           0.0192547	           0.0192547	           0.0192547	           0.0192547	           0.0192547	           0.0192547	              4.9375	
           0.0183158	           0.0183156	           0.0183156	           0.0183156	           0.0183156	           0.0183156	           0.0183156	           0.0183156	                   5	
All set!
