# rk methods' comparison!
## Solutions with Parameters: t0 = 0.000000, t1 = 5.000000, dt = 0.062500, y0 = 1.000000
                 rk1	                 rk2	                 rk3	                 rk4	                 3/8	                gill	             ralston	      exact solution	                time	

                   1	                   1	                   1	                   1	                   1	                   1	                   1	                   1	                   0	
                0.95	             0.95125	            0.951229	            0.951229	            0.951229	            0.951903	            0.950838	            0.951229	              0.0625	
              0.9025	            0.904877	            0.904837	            0.904837	            0.904837	             0.90612	            0.904092	            0.904837	               0.125	
            0.857375	            0.860764	            0.860707	            0.860708	            0.860708	            0.862539	            0.859645	            0.860708	              0.1875	
            0.814506	            0.818802	             0.81873	            0.818731	            0.818731	            0.821054	            0.817382	            0.818731	                0.25	
            0.773781	            0.778885	              0.7788	            0.778801	            0.778801	            0.781564	            0.777198	            0.778801	              0.3125	
            0.735092	            0.740914	            0.740817	            0.740818	            0.740818	            0.743974	            0.738989	            0.740818	               0.375	
            0.698337	            0.704795	            0.704687	            0.704688	            0.704688	            0.708191	            0.702658	            0.704688	              0.4375	
             0.66342	            0.670436	            0.670319	             0.67032	             0.67032	             0.67413	            0.668114	             0.67032	                 0.5	
            0.630249	            0.637752	            0.637627	            0.637628	            0.637628	            0.641706	            0.635268	            0.637628	              0.5625	
            0.598737	            0.606662	            0.606529	            0.606531	            0.606531	            0.610842	            0.604037	            0.606531	               0.625	
              0.5688	            0.577087	            0.576948	             0.57695	             0.57695	            0.581463	            0.574341	             0.57695	              0.6875	
             0.54036	            0.548954	             0.54881	            0.548812	            0.548812	            0.553497	            0.546105	            0.548812	                0.75	
            0.513342	            0.522193	            0.522044	            0.522046	            0.522046	            0.526875	            0.519257	            0.522046	              0.8125	
            0.487675	            0.496736	            0.496583	            0.496585	            0.496585	            0.501535	            0.493729	            0.496585	               0.875	
            0.463291	             0.47252	            0.472365	            0.472367	            0.472367	            0.477413	            0.469456	            0.472367	              0.9375	
            0.440127	            0.449484	            0.449327	            0.449329	            0.449329	            0.454451	            0.446376	            0.449329	                   1	
             0.41812	            0.427572	            0.427413	            0.427415	            0.427415	            0.432593	            0.424431	            0.427415	              1.0625	
            0.397214	            0.406728	            0.406568	             0.40657	             0.40657	            0.411787	            0.403565	             0.40657	               1.125	
            0.377354	              0.3869	            0.386739	            0.386741	            0.386741	            0.391981	            0.383725	            0.386741	              1.1875	
            0.358486	            0.368039	            0.367877	            0.367879	            0.367879	            0.373129	             0.36486	            0.367879	                1.25	
            0.340562	            0.350097	            0.349936	            0.349938	            0.349938	            0.355182	            0.346923	            0.349938	              1.3125	
            0.323534	             0.33303	            0.332869	            0.332871	            0.332871	            0.338099	            0.329867	            0.332871	               1.375	
            0.307357	            0.316794	            0.316635	            0.316637	            0.316637	            0.321838	             0.31365	            0.316637	              1.4375	
            0.291989	            0.301351	            0.301192	            0.301194	            0.301194	            0.306359	             0.29823	            0.301194	                 1.5	
             0.27739	             0.28666	            0.286503	            0.286505	            0.286505	            0.291624	            0.283569	            0.286505	              1.5625	
             0.26352	            0.272685	             0.27253	            0.272532	            0.272532	            0.277598	            0.269628	            0.272532	               1.625	
            0.250344	            0.259392	            0.259238	             0.25924	             0.25924	            0.264246	            0.256372	             0.25924	              1.6875	
            0.237827	            0.246746	            0.246595	            0.246597	            0.246597	            0.251537	            0.243768	            0.246597	                1.75	
            0.225936	            0.234717	            0.234568	             0.23457	             0.23457	            0.239439	            0.231784	             0.23457	              1.8125	
            0.214639	            0.223275	            0.223128	             0.22313	             0.22313	            0.227923	            0.220389	             0.22313	               1.875	
            0.203907	             0.21239	            0.212246	            0.212248	            0.212248	             0.21696	            0.209554	            0.212248	              1.9375	
            0.193711	            0.202036	            0.201895	            0.201897	            0.201897	            0.206525	            0.199252	            0.201897	                   2	
            0.184026	            0.192187	            0.192048	             0.19205	             0.19205	            0.196592	            0.189456	             0.19205	              2.0625	
            0.174825	            0.182818	            0.182682	            0.182684	            0.182684	            0.187137	            0.180142	            0.182684	               2.125	
            0.166083	            0.173906	            0.173772	            0.173774	            0.173774	            0.178136	            0.171286	            0.173774	              2.1875	
            0.157779	            0.165428	            0.165297	            0.165299	            0.165299	            0.169569	            0.162865	            0.165299	                2.25	
             0.14989	            0.157363	            0.157236	            0.157237	            0.157237	            0.161413	            0.154858	            0.157237	              2.3125	
            0.142396	            0.149692	            0.149567	            0.149569	            0.149569	            0.153649	            0.147245	            0.149569	               2.375	
            0.135276	            0.142394	            0.142273	            0.142274	            0.142274	            0.146259	            0.140006	            0.142274	              2.4375	
            0.128512	            0.135452	            0.135334	            0.135335	            0.135335	            0.139225	            0.133123	            0.135335	                 2.5	
            0.122087	            0.128849	            0.128733	            0.128735	            0.128735	            0.132529	            0.126578	            0.128735	              2.5625	
            0.115982	            0.122568	            0.122455	            0.122456	            0.122456	            0.126155	            0.120355	            0.122456	               2.625	
            0.110183	            0.116593	            0.116483	            0.116484	            0.116484	            0.120087	            0.114438	            0.116484	              2.6875	
            0.104674	            0.110909	            0.110802	            0.110803	            0.110803	            0.114311	            0.108812	            0.110803	                2.75	
           0.0994403	            0.105502	            0.105398	            0.105399	            0.105399	            0.108813	            0.103463	            0.105399	              2.8125	
           0.0944682	            0.100359	            0.100258	            0.100259	            0.100259	             0.10358	           0.0983764	            0.100259	               2.875	
           0.0897448	           0.0954662	           0.0953679	           0.0953692	           0.0953692	           0.0985978	             0.09354	           0.0953692	              2.9375	
           0.0852576	           0.0908122	           0.0907168	            0.090718	            0.090718	           0.0938556	           0.0889414	            0.090718	                   3	
           0.0809947	           0.0863851	           0.0862924	           0.0862936	           0.0862936	           0.0893415	           0.0845688	           0.0862936	              3.0625	
            0.076945	           0.0821738	           0.0820839	            0.082085	            0.082085	           0.0850445	           0.0804112	            0.082085	               3.125	
           0.0730977	           0.0781678	           0.0780806	           0.0780817	           0.0780817	           0.0809541	            0.076458	           0.0780817	              3.1875	
           0.0694428	           0.0743572	           0.0742725	           0.0742736	           0.0742736	           0.0770605	           0.0726991	           0.0742736	                3.25	
           0.0659707	           0.0707323	           0.0706502	           0.0706512	           0.0706512	           0.0733542	            0.069125	           0.0706512	              3.3125	
           0.0626722	           0.0672841	           0.0672045	           0.0672055	           0.0672055	           0.0698261	           0.0657267	           0.0672055	               3.375	
           0.0595386	            0.064004	           0.0639269	           0.0639279	           0.0639279	           0.0664677	           0.0624954	           0.0639279	              3.4375	
           0.0565616	           0.0608838	           0.0608091	           0.0608101	           0.0608101	           0.0632709	            0.059423	           0.0608101	                 3.5	
           0.0537335	           0.0579157	           0.0578434	           0.0578443	           0.0578443	           0.0602277	           0.0565016	           0.0578443	              3.5625	
           0.0510469	           0.0550923	           0.0550224	           0.0550232	           0.0550232	            0.057331	           0.0537238	           0.0550232	               3.625	
           0.0484945	           0.0524065	           0.0523389	           0.0523397	           0.0523397	           0.0545736	           0.0510826	           0.0523397	              3.6875	
           0.0460698	           0.0498517	           0.0497863	           0.0497871	           0.0497871	           0.0519488	           0.0485713	           0.0497871	                3.75	
           0.0437663	           0.0474215	           0.0473581	           0.0473589	           0.0473589	           0.0494502	           0.0461834	           0.0473589	              3.8125	
            0.041578	           0.0451097	           0.0450484	           0.0450492	           0.0450492	           0.0470718	           0.0439129	           0.0450492	               3.875	
           0.0394991	           0.0429106	           0.0428514	           0.0428521	           0.0428521	           0.0448079	           0.0417541	           0.0428521	              3.9375	
           0.0375241	           0.0408187	           0.0407615	           0.0407622	           0.0407622	           0.0426528	           0.0397013	           0.0407622	                   4	
           0.0356479	           0.0388288	           0.0387735	           0.0387742	           0.0387742	           0.0406013	           0.0377495	           0.0387742	              4.0625	
           0.0338655	           0.0369359	           0.0368825	           0.0368832	           0.0368832	           0.0386485	           0.0358937	           0.0368832	               4.125	
           0.0321723	           0.0351352	           0.0350837	           0.0350844	           0.0350844	           0.0367897	            0.034129	           0.0350844	              4.1875	
           0.0305636	           0.0334224	           0.0333727	           0.0333733	           0.0333733	           0.0350202	           0.0324512	           0.0333733	                4.25	
           0.0290355	           0.0317931	            0.031745	           0.0317456	           0.0317456	           0.0333359	           0.0308558	           0.0317456	              4.3125	
           0.0275837	           0.0302431	           0.0301968	           0.0301974	           0.0301974	           0.0317325	           0.0293388	           0.0301974	               4.375	
           0.0262045	           0.0287688	           0.0287241	           0.0287246	           0.0287246	           0.0302063	           0.0278965	           0.0287246	              4.4375	
           0.0248943	           0.0273663	           0.0273232	           0.0273237	           0.0273237	           0.0287535	            0.026525	           0.0273237	                 4.5	
           0.0236496	           0.0260322	           0.0259906	           0.0259911	           0.0259911	           0.0273705	            0.025221	           0.0259911	              4.5625	
           0.0224671	           0.0247631	            0.024723	           0.0247235	           0.0247235	           0.0260541	           0.0239811	           0.0247235	               4.625	
           0.0213437	           0.0235559	           0.0235173	           0.0235178	           0.0235178	            0.024801	           0.0228021	           0.0235177	              4.6875	
           0.0202765	           0.0224076	           0.0223703	           0.0223708	           0.0223708	           0.0236082	           0.0216811	           0.0223708	                4.75	
           0.0192627	           0.0213152	           0.0212793	           0.0212797	           0.0212797	           0.0224727	           0.0206152	           0.0212797	              4.8125	
           0.0182996	           0.0202761	           0.0202415	           0.0202419	           0.0202419	           0.0213918	           0.0196017	           0.0202419	               4.875	
           0.0173846	           0.0192876	           0.0192543	           0.0192547	           0.0192547	            0.020363	            0.018638	           0.0192547	              4.9375	
           0.0165154	           0.0183474	           0.0183152	           0.0183156	           0.0183156	           0.0193836	           0.0177217	           0.0183156	                   5	
All set!
